"","code1","code2","question"
"24","ATTENV.P1.","ATTENV.P1.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - J'aime beaucoup aller me promener à la campagne par exemple dans la forêt ou dans les champs"
"25","ATTENV.P1R.","ATTENV.P1R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je trouve que passer du temps dans la nature est ennuyeux"
"26","ATTENV.P2.","ATTENV.P2.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Le gouvernement devrait contrôler la quantité de matières premières qui est utilisée pour s'assurer qu elles durent le plus longtemps possible"
"27","ATTENV.P2R.","ATTENV.P2R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je suis opposé au contrôle et à la régulation gouvernementale de l utilisation des matières premières pour essayer de les faire perdurer"
"28","ATTENV.U4.","ATTENV.U4.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - L une des principales raisons de garder les lacs et les rivières propres est de proposer des lieux où les gens puissent pratiquer des sports aquatiques"
"29","ATTENV.U4R.","ATTENV.U4R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Nous devons garder les rivières et les lacs propres afin de protéger l environnement et NON pour que les gens y pratiquent des sports aquatiques"
"30","ATTENV.U5R.","ATTENV.U5R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - La science moderne ne sera pas en mesure de résoudre nos problèmes environnementaux"
"31","ATTENV.U5.","ATTENV.U5.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - La science moderne va résoudre nos problèmes environnementaux"
"32","ATTENV.P6.","ATTENV.P6.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Les êtres humains abusent gravement de l environnement"
"33","ATTENV.P6R.","ATTENV.P6R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je ne crois pas que l environnement ait été gravement malmené par les humains"
"34","ATTENV.U7R.","ATTENV.U7R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je préfère un jardin à l état sauvage et naturel qu'un jardin soigné et ordonné"
"35","ATTENV.U7.","ATTENV.U7.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je préfère de loin un jardin qui est bien soigné et ordonné à un jardin à l état sauvage et naturel"
"36","ATTENV.P8R.","ATTENV.P8R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je ne suis pas le genre de personne qui fait des efforts pour préserver les ressources naturelles"
"37","ATTENV.P8.","ATTENV.P8.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - A chaque fois que c est possible j essaie d'économiser les ressources naturelles"
"38","ATTENV.U9.","ATTENV.U9.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Les êtres humains ont évolué ou ont été créés pour dominer le reste de la nature"
"39","ATTENV.U9R.","ATTENV.U9R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je ne crois PAS que les êtres humains aient évolué ou aient été créés pour dominer le reste de la nature"
"40","ATTENV.U10.","ATTENV.U10.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Protéger les emplois est plus important que protéger l environnement"
"41","ATTENV.U10R.","ATTENV.U10R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Protéger l environnement est plus important que protéger les emplois"
"42","ATTENV.P12.","ATTENV.P12.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Les familles devraient être encouragées à se limiter à deux enfants ou moins"
"43","ATTENV.P12R.","ATTENV.P12R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Un couple marié doit avoir autant d'enfants qu il le souhaite tant qu il peut subvenir à leurs besoins"
"44","ATTENV.P11.","ATTENV.P11.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Le défrichage des forêts pour l agriculture me rend triste"
"45","ATTENV.P11R.","ATTENV.P11R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Cela ne me rend pas triste de voir des environnements naturels détruits"
"46","ATTENV.P3.","ATTENV.P3.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je voudrais rejoindre et participer activement à un groupe écologiste"
"47","ATTENV.P3R.","ATTENV.P3R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes - Je ne m impliquerais pas dans une organisation écologiste"
"48","ATTFO.U4.","ATTFO.U4.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Les forêts doivent être maintenues pour garantir un espace de loisir aux humains"
"49","ATTFO.U4R.","ATTFO.U4R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Nous devons préserver les forêts afin de protéger l environnement et non pour le loisir des êtres humains"
"50","ATTFO.U5R.","ATTFO.U5R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Les progrès scientifiques ne permettront pas de préserver les forêts"
"51","ATTFO.U5.","ATTFO.U5.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  La préservation des forêts ne pourra pas se passer des progrès de la science"
"52","ATTFO.U7R.","ATTFO.U7R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je préfère une forêt naturelle plutôt qu'une forêt façonnée par l être humain"
"53","ATTFO.U7.","ATTFO.U7.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je préfère de loin une forêt ordonnée et propre où les arbres sont alignés et de même taille"
"54","ATTFO.U9.","ATTFO.U9.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Les forêts existent pour fournir des services et des ressources aux êtres humains"
"55","ATTFO.U9R.","ATTFO.U9R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Les êtres humains n ont aucun droit à exploiter les forêts"
"56","ATTFO.U10R.","ATTFO.U10R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Il vaut mieux protéger les forêts que produire du bois"
"57","ATTFO.U10.","ATTFO.U10.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Produire du bois est plus important que protéger les forêts"
"58","ATTFO.P1.","ATTFO.P1.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  J'aime beaucoup aller me promener dans la forêt"
"59","ATTFO.P1R.","ATTFO.P1R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je ne trouve aucun intérêt à passer du temps en forêt"
"60","ATTFO.P2.","ATTFO.P2.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Le gouvernement devrait s'assurer que les forêts sont gérées durablement pour les préserver"
"61","ATTFO.P2R.","ATTFO.P2R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je suis opposé à toute régulation gouvernementale de l exploitation des forêts dans l objectif de les préserver"
"62","ATTFO.P3.","ATTFO.P3.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je suis prêt à militer pour que des arbres ne soient pas coupés"
"63","ATTFO.P3R.","ATTFO.P3R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je ne militerais pas pour protéger des forêts"
